大标题,采购项目名称,品目,采购单位,行政区域,公告时间,获取招标文件时间,招标文件售价,获取招标文件的地点,开标时间,开标地点,预算金额,项目联系人,项目联系电话,采购单位地址,采购单位联系方式,代理机构名称,代理机构地址,代理机构联系方式,附件1,附件2
民航上海医院DR等设备维保项目公开招标公告,民航上海医院DR等设备维保项目,服务/维修和保养服务/医疗设备维修和保养服务,民航上海医院,上海市,2022年01月28日  17:21,"2022年01月29日至2022年02月09日, 每日上午:9:30 至 11:00  下午:13:30 至 16:00（北京时间，法定节假日除外）",￥500,上海市长寿路285号恒达大厦22楼16号会议室,2022年02月18日  13:30,上海市长寿路285号恒达大厦22楼12号会议室,￥19.500000万元（人民币）,张晔,021-32557718,上海市红宝石路398号,王牛  021-51530200,上海机电设备招标有限公司,上海市长寿路285号恒达大厦22楼16号会议室,张晔  021-32557718,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220128_17568277.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220128_17568277.htm
某单位景苑招待所家具采购公开招标公告,某单位景苑招待所家具采购,货物/家具用具/组合家具,某单位,北京市,2022年01月28日  17:36,"2022年01月29日至2022年02月11日, 每日上午:9:00 至 12:00  下午:13:00 至 17:00（北京时间，法定节假日除外）",￥500,北京市丰台区西四环南路35号中都科技大厦516室。,2022年03月01日  09:30,北京市丰台区西四环南路35号中都科技大厦515会议室。,￥780.000000万元（人民币）,冯英山、陈雪松,010-86203830,北京市西城区,冯老师 010-87095880,中贸国际工程招标（北京）有限公司,北京市丰台区西四环南路35号中都科技大厦516室,冯英山、陈雪松010-86203830、86203832,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220128_17568212.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220128_17568212.htm
郑州铁路公安局2022-2024年度移动警务终端通讯服务采购项目公开招标公告,郑州铁路公安局2022-2024年度移动警务终端通讯服务采购项目,"服务/电信和其他信息传输服务/其他电信和信息传输服务,服务/电信和其他信息传输服务/互联网信息服务,服务/电信和其他信息传输服务/电信服务/基础电信服务,服务/电信和其他信息传输服务/电信服务/增值电信服务",郑州铁路公安局,郑州市,2022年01月28日  18:44,"2022年01月29日至2022年02月09日, 每日上午:9:00 至 11:30  下午:13:30 至 16:00（北京时间，法定节假日除外）",￥600,中招联合招标采购平台（http://www.365trade.com.cn）,2022年02月22日  09:30,郑州市管城区航海路未来路向西300米路南铭汇文华酒店26层宜兰厅,￥3840.000000万元（人民币）,刘女士、王女士,010-82582703-810、811,河南省郑州市二七区永安东街52号,冯老师 0371-68322998,北京华夏京诚咨询有限公司,北京市海淀区西直门北大街甲43号金运大厦B座802室,刘女士  010-82582703-810、811,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220128_17568648.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220128_17568648.htm
中山大学“中山大学”号海洋综合科考实习船安全管理与配员服务项目公开招标公告,中山大学“中山大学”号海洋综合科考实习船安全管理与配员服务项目,服务/交通运输和仓储服务/水上运输服务/其他水上运输服务,中山大学,广东省,2022年01月28日  19:31,"2022年01月29日至2022年02月09日, 每日上午:9:00 至 12:00  下午:12:00 至 17:30（北京时间，法定节假日除外）",￥0,中山大学智能电子采购系统（https://www.zhizhengyun.com）,2022年02月18日  09:00,广州市新港西路135号中山大学西南区415号生物楼中山大学政府采购与招投标管理中心会议室,￥2700.000000万元（人民币）,李女士 ,020-87651688-156,广州市新港西路135号 ,郑老师  020-84115084转810 ,采联国际招标采购集团有限公司,广东省广州市越秀区环市东路472号7、23楼,李女士  020-87651688-156,（发售稿）F21GZ0095中山大学“中山大学”号海洋综合科考实习船安全管理与配员服务项目.pdf-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220128_17568697.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220128_17568697.htm
中日友好医院疑难病症诊治能力提升工程项目（呼吸系统疾病方向）医疗设备采购第五批公开招标公告,中日友好医院疑难病症诊治能力提升工程项目（呼吸系统疾病方向）医疗设备采购第五批,"货物/专用设备/医疗设备/临床检验设备,货物/专用设备/医疗设备/其他医疗设备",中日友好医院,北京市,2022年01月28日  20:06,"2022年01月29日至2022年02月09日, 每日上午:9:00 至 11:00  下午:13:30 至 16:00（北京时间，法定节假日除外）",￥800,北京市阜成门外大街1号四川大厦西楼21层2102B,2022年02月18日  09:30,北京西城区阜成门外大街1号四川大厦西塔楼3层多功能厅。开标现场递交/接收投标文件时间：2022年2月18日8:30-9:30（北京时间）。,￥916.400000万元（人民币）,李杭，邵炜，张曌明，李子豪,010-68991925，86433015,北京市朝阳区樱花园东路 邮编：100029,010-84205979、010-84206038,中国机械进出口(集团)有限公司,北京市西城区阜成门外大街1号四川大厦西楼21层2101B,李杭，邵炜，张曌明，李子豪  电话：010-68991925，86433015 电子邮箱：zhangzhaoming@cmc.gt.cn,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220128_17568751.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220128_17568751.htm
西南大学高清电子胃肠镜系统采购项目公开招标公告,高清电子胃肠镜系统采购,货物/专用设备/医疗设备/医用内窥镜,西南大学,重庆市,2022年01月15日  16:20,"2022年01月15日至2022年01月26日, 每日上午:8:00 至 12:00  下午:14:00 至 18:00（北京时间，法定节假日除外）",￥400,西南大学采购与招投标管理中心230室或中国政府采购网（http://www.ccgp.gov.cn）和西南大学采购与招投标管理中心网页（http://caigou.swu.edu.cn/sfw_cms/e?page=cms.index）,2022年03月03日  15:00,重庆市北碚区天生路2号西南大学文俊楼(南区行政楼)二楼采购与招投标管理中心开标1室（西南大学二号门内400米处）,￥330.000000万元（人民币）,张老师      杨老师,023-68250943   68251032,重庆市北碚区天生路2号,张老师（rxzhang@swu.eu.cn)         杨老师（yangm@swu.edu.cn),详见公告正文,详见公告正文,详见公告正文,高清电子胃肠镜系统招标文件（终）.docx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220115_17525790.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220115_17525790.htm
国家税务总局沂水县税务局局机关及派出机构物业管理服务项目公开招标公告,国家税务总局沂水县税务局局机关及派出机构物业管理服务项目,服务/房地产服务/物业管理服务,国家税务总局沂水县税务局,沂水县,2022年01月16日  17:09,"2022年01月17日至2022年01月21日, 每日上午:8:30 至 11:30  下午:14:00 至 17:00（北京时间，法定节假日除外）",￥0,山东中天建华工程咨询管理有限公司办事处(沂水县鑫华路37-3号财政局西侧沿街),2022年02月11日  14:30,沂水县河东岸南门红城路西首往北60米路西沂水县正文职业培训学校一楼会议室,￥200.000000万元（人民币）,尹海昌,19853926081,山东省沂水县长安南路5号,刘春平13563952555,山东中天建华工程咨询管理有限公司,山东省济南市市中区小纬二路66号财富自由港1806、1807、1808、1809室,解德纯18265920518,国家税务总局沂水县税务局局机关及派出机构物业管理服务项目公开招标公告.docx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220116_17526064.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220116_17526064.htm
中南大学校本部饮食文化城北楼维修工程-风味餐厅招标公告,中南大学校本部饮食文化城北楼维修工程-风味餐厅,工程/装修工程,中南大学,长沙市,2022年01月17日  11:22,"2022年01月17日至2022年01月24日, 每日上午:9:00 至 12:00  下午:14:30 至 17:00（北京时间，法定节假日除外）",￥400,湖南省招标有限责任公司1411室（长沙市湘府东路二段199号招标大厦14楼）,2022年02月11日  14:00,湖南省招标有限责任公司（长沙市雨花区湘府东路199号招标大厦12楼开标厅),￥352.000000万元（人民币）,林丹,0731-84553843,长沙市岳麓区麓山南路932号,肖老师；0731-88836792,湖南省招标有限责任公司,长沙市雨花区湘府东路二段199号招标大厦,林丹、丁政勋  0731-84515405、0731-84553843,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17527004.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17527004.htm
吉林大学第一医院注射泵采购公开招标公告,吉林大学第一医院注射泵采购,货物/专用设备/医疗设备/其他医疗设备,吉林大学第一医院,长春市,2022年01月17日  11:51,"2022年01月17日至2022年01月24日, 每日上午:9:30 至 11:30  下午:13:30 至 16:30（北京时间，法定节假日除外）",￥600,吉林省长春市南关区亚泰大街3218号通钢大厦B座6层668室,2022年02月11日  09:30,吉林省长春市南关区亚泰大街3218号通钢大厦B座6层668室第一开标室,￥45.600000万元（人民币）,孙敏、姜万佳、白雪,0431-89867976转8015、0431-88622594转8015、0431-88629808转8015,长春市新民大街1号,陈文佳0431-88782235,中国洲际新资源集团股份公司,北京市海淀区西三环北路甲2号院中关村国防科技园6号楼1层1室,孙敏、姜万佳、白雪0431-89867976转8015、0431-88622594转8015、0431-88629808转8015,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17527274.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17527274.htm
吉林大学第一医院转运呼吸机采购公开招标公告,吉林大学第一医院转运呼吸机采购,货物/专用设备/医疗设备/其他医疗设备,吉林大学第一医院,长春市,2022年01月17日  11:55,"2022年01月17日至2022年01月24日, 每日上午:9:30 至 11:30  下午:13:30 至 16:30（北京时间，法定节假日除外）",￥600,吉林省长春市南关区亚泰大街3218号通钢大厦B座6层668室,2022年02月10日  14:00,吉林省长春市南关区亚泰大街3218号通钢大厦B座6层668室第一开标室,￥90.000000万元（人民币）,张晴、姜万佳、白雪,0431- 89867976转8016、0431-88622594转8016、0431-88629808转8016,长春市新民大街1号,陈文佳0431-88782235,中国洲际新资源集团股份公司,北京市海淀区西三环北路甲2号院6号楼1层01室,张晴、姜万佳、白雪0431- 89867976转8016、0431-88622594转8016、0431-88629808转8016,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17527287.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17527287.htm
吉林大学第一医院营养泵采购公开招标公告,吉林大学第一医院营养泵采购,货物/专用设备/医疗设备/其他医疗设备,吉林大学第一医院,市辖区,2022年01月17日  12:01,"2022年01月17日至2022年01月24日, 每日上午:9:30 至 11:30  下午:13:30 至 16:30（北京时间，法定节假日除外）",￥600,吉林省长春市南关区亚泰大街3218号通钢大厦B座6层668室。,2022年02月10日  09:30,吉林省长春市南关区亚泰大街3218号通钢大厦B座6层668室第二开标室。,￥16.000000万元（人民币）,李鑫、姜万佳、白雪,0431-89867976转8012、0431-88622594转8012、0431-88629808转8012,长春市新民大街1号,陈文佳0431-88782235,中国洲际新资源集团股份公司,北京市海淀区西三环北路甲2号院6号楼1层01室 ,李鑫、姜万佳、白雪0431-89867976转8012、0431-88622594转8012、0431-88629808转8012,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17527307.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17527307.htm
济南市历城区消防救援大队单人木床项目招标公告公开招标公告,济南市历城区消防救援大队单人木床项目招标公告,货物/家具用具/床类/木制床类,济南市历城区消防救援大队,历城区,2022年01月17日  12:36,"2022年01月17日至2022年01月24日, 每日上午:8:00 至 14:00  下午:12:00 至 21:00（北京时间，法定节假日除外）",￥300,济南市历城区华能路9号新龙科技大厦7楼招标部,2022年02月10日  14:00,济南市历城区华能路9号新龙科技大厦7楼会议室,￥32.640000万元（人民币）,赵工  ,0531-88036056 ,济南市历城区全福立交桥东北角,李老师，0531-88079119,山东泰山工程项目管理有限公司,济南市历城区华能路9号新龙科技大厦7楼招标部,张工,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17527378.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17527378.htm
云南省昆明市嵩明县牛栏江市政道路提升改造工程（二次）公开招标公告,云南省昆明市嵩明县牛栏江市政道路提升改造工程,"工程/专业施工/其他专业施工,工程/其他建筑工程",嵩明县牛栏江镇人民政府,嵩明县,2022年01月17日  14:32,"2022年01月18日至2022年01月24日, 每日上午:9:00 至 11:30  下午:14:30 至 17:00（北京时间，法定节假日除外）",￥1200,云南中聚项目管理咨询有限公司招标二部（云南省昆明市盘龙区新迎新城写字楼1508号会议室）,2022年02月08日  10:00,云南中聚项目管理咨询有限公司招标二部（云南省昆明市盘龙区新迎新城写字楼1508号会议室）,￥0.000000万元（人民币）,张工、刘工,0871-64275997、18725166283,嵩明县牛栏江镇新营南路18号,祖老师/13700667984,云南中聚项目管理咨询有限公司,云南省昆明市盘龙区金星小区华富园16幢2单元15号商网,张工、刘工/0871-64275997、18725166283,牛栏江招标公告（二次）.pdf-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17527634.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17527634.htm
哈尔滨工业大学计算仿真验证平台公开招标公告,哈尔滨工业大学计算仿真验证平台,货物/其他货物/其他不另分类的物品,哈尔滨工业大学,哈尔滨市,2022年01月17日  14:41,"2022年01月18日至2022年01月24日, 每日上午:8:30 至 11:30  下午:13:30 至 16:30（北京时间，法定节假日除外）",￥500,详见招标公告,2022年02月18日  09:00,详见招标公告,￥320.000000万元（人民币）,刘莹,18904884128,哈尔滨西大直街92号,张老师0451-86417955,忱义工程项目管理有限公司,黑龙江省哈尔滨市群力新区丽江路3936号银泰城写字楼27层,刘莹18904884128,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17527874.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17527874.htm
兰州大学榆中校区1-2号研究生公寓、南区生活中心工程监理公开招标公告,兰州大学榆中校区1-2号研究生公寓、南区生活中心工程监理,服务/工程咨询管理服务/工程监理服务,兰州大学,甘肃省,2022年01月17日  14:53,"2022年01月19日至2022年01月24日, 每日上午:8:30 至 12:00  下午:14:30 至 18:00（北京时间，法定节假日除外）",￥0,甘肃省公共资源交易网(http://ggzyjy.gansu.gov.cn/),2022年02月18日  10:00,甘肃省公共资源交易中心第二开标厅，本项目采用线上递交，在线开标的方式，投标人代表无需到场,￥420.000000万元（人民币）,柳老师,0931-8912775,兰州市天水南路 222 号,刘老师；0931-8912932,北京泛华国金工程咨询有限公司,兰州市城关区和平新村 127 号元富大厦 16 层,任泽亮；13919050520,兰州大学榆中校区1-2号研究生公寓、南区生活中心工程监理~备案招标文件.pdf-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17527794.htm,兰州大学榆中校区 1-2 号研究生公寓、南区生活中心工程监理~招标公告.pdf-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17527794.htm
上海铁路公安局徐州公安处徐州东站派出所及培训中心辅助用房改造项目公开招标公告,上海铁路公安局徐州公安处徐州东站派出所及培训中心辅助用房改造项目,工程/修缮工程/房屋修缮,上海铁路公安局徐州公安处,徐州市,2022年01月17日  13:50,"2022年01月17日至2022年01月24日, 每日上午:9:00 至 11:30  下午:13:30 至 17:00（北京时间，法定节假日除外）",￥600,江苏中际招标代理有限公司（徐州市云龙区绿地商务城LOFT领海办公室5#1908室） ,2022年02月15日  09:30,徐州市云龙区绿地商务城LOFT领海办公室5#1916室,￥523.000000万元（人民币）,史女士,0516-83105531,徐州市津浦西路192号,张老师 0516-83922948,江苏中际招标代理有限公司,徐州市云龙区绿地商务城LOFT领海办公室5#1908室,史女士0516-83105531,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17527482.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17527482.htm
上海交通大学物性测量平台国际公开招标公告,上海交通大学物性测量平台,货物/通用设备/仪器仪表/分析仪器/其他分析仪器,上海交通大学,上海市,2022年01月17日  14:58,"2022年01月17日至2022年01月24日, 每日上午:9:00 至 11:30  下午:13:30 至 16:30（北京时间，法定节假日除外）",￥500,上海市长寿路285号恒达大厦16楼1610室,2022年02月08日  09:30,上海市长寿路285号恒达广场10楼会议室,￥500.000000万元（人民币）,刘老师,86-21-54744366,上海市闵行区东川路800号,刘老师 86-21-54744366,上海市机械设备成套（集团）有限公司,上海市长寿路285号恒达大厦16楼1610室,张洁玮 沈飏  86-21-32557719; 86-21-32557775,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17528047.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17528047.htm
哈尔滨工业大学空间环境地面模拟装置束线钢平台工程公开招标公告,哈尔滨工业大学空间环境地面模拟装置束线钢平台工程,工程/其他建筑工程,哈尔滨工业大学,哈尔滨市,2022年01月17日  15:09,"2022年01月18日至2022年01月24日, 每日上午:8:30 至 11:30  下午:13:30 至 16:30（北京时间，法定节假日除外）",￥500,详见招标公告,2022年02月08日  09:00,详见招标公告,￥200.237238万元（人民币）,刘莹,18904884128,哈尔滨市南岗区西大直街92号哈尔滨工业大学行政办公楼,武老师0451-86417953,忱义工程项目管理有限公司,哈尔滨市群力新区丽江路3936号银泰城F座写字楼27层,刘莹18904884128,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17528140.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17528140.htm
应急管理部森林消防局超短波对空电台采购项目公开招标公告,应急管理部森林消防局超短波对空电台采购项目,货物/通用设备/通信设备/接力通信系统设备/超短波接力通信设备,应急管理部森林消防局,海淀区,2022年01月17日  15:48,"2022年01月17日至2022年01月24日, 每日上午:9:00 至 12:00  下午:13:00 至 17:00（北京时间，法定节假日除外）",￥500,华采招标集团有限公司（北京市丰台区广安路9号国投财富广场6号楼1601室）,2022年02月11日  09:30,北京市丰台区广安路9号国投财富广场6号楼16层第三会议室,￥211.850000万元（人民币）,招标1部 姚冲、李越、刘金秀,010-63509799-8032、8076、8078,北京市海淀区紫竹院路118号,王助理 010-58972381,华采招标集团有限公司,北京市丰台区广安路9号国投财富广场6号楼1601室,招标1部 姚冲、李越、刘金秀    010-63509799-8032、8076、8078,0036招标公告.pdf-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17528262.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17528262.htm
大连市消防救援支队2022年度工程造价咨询服务项目公开招标公告,大连市消防救援支队2022年度工程造价咨询服务项目,服务/工程咨询管理服务/其他工程咨询管理服务,大连市消防救援支队,甘井子区,2022年01月17日  15:55,"2022年01月18日至2022年01月24日, 每日上午:9:00 至 11:00  下午:13:00 至 16:00（北京时间，法定节假日除外）",￥500,大连点石项目管理有限公司（地址：大连市沙河口区黄河街12-A）,2022年02月17日  13:30,大连点石项目管理有限公司会议室（地址：大连市沙河口区黄河街12-A）,￥0.000000万元（人民币）,王双双,0411-86762222,大连市甘井子区东北北路50号,王琳0411-86779119,大连点石项目管理有限公司,大连市沙河口区黄河街12-A,王双双0411-86762222,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17528358.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17528358.htm
大连市消防救援支队2022年度财务审计服务项目公开招标公告,大连市消防救援支队2022年度财务审计服务项目,服务/专业技术服务/其他专业技术服务,大连市消防救援支队,甘井子区,2022年01月17日  16:02,"2022年01月18日至2022年01月24日, 每日上午:9:00 至 11:00  下午:13:00 至 16:00（北京时间，法定节假日除外）",￥500,大连点石项目管理有限公司（地址：大连市沙河口区黄河街12-A）,2022年02月18日  13:30,大连点石项目管理有限公司会议室（地址：大连市沙河口区黄河街12-A）,￥0.000000万元（人民币）,王双双,0411-86762222,大连市甘井子区东北北路50号,王琳0411-86779119,大连点石项目管理有限公司,大连市沙河口区黄河街12-A,王双双0411-86762222,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17528442.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17528442.htm
四川大学华西第四医院全自动流式细胞仪、中毒洗消装备采购项目公开招标公告,四川大学华西第四医院全自动流式细胞仪、中毒洗消装备采购项目,货物/专用设备/医疗设备/其他医疗设备,四川大学华西第四医院,四川省,2022年01月17日  16:14,"2022年01月18日至2022年01月24日, 每日上午:9:00 至 12:00  下午:14:00 至 17:00（北京时间，法定节假日除外）",￥300,成都市高新区府城大道西段399号天府新谷10号楼0801号,2022年02月17日  10:00,成都市高新区府城大道西段399号天府新谷10号楼1402号本项目开标室。,￥56.500000万元（人民币）,侯女士,028-85246996-815、15775958536,成都市武侯区人民南路三段18号,联系人：李老师；电话：028-85501579,新华招标有限公司,北京市海淀区莲花池东路39号西金大厦8层810室；四川分公司地址：成都市高新区府城大道西段399号天府新谷10号楼0801号,联 系 人：吴先生；联系电话：028-61152992、18000558530；联 系 人：侯女士；联系电话：028-85246996-815、15775958536,采购需求.pdf-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17528873.htm,投标报名登记表.doc-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17528873.htm
某单位教学用电脑项目招标公告（二次）,教学用电脑,货物/通用设备/计算机设备及软件/计算机设备/台式计算机,某单位,徐州市,2022年01月17日  16:16,"2022年01月18日至2022年01月24日, 每日上午:9:00 至 11:30  下午:14:30 至 18:00（北京时间，法定节假日除外）",￥200,详见公告,2022年02月18日  09:30,江苏徐州市（如有调整，另行通知）,￥90.000000万元（人民币）,原喆,0516-83150368,江苏省徐州市,原喆 0516-83150368,江苏海外集团国际工程咨询有限公司,江苏省徐州市泉山区金山东路北侧徐州软件园C-11号楼1011室 ,宋涛 0516-83999055,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17528576.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17528576.htm
嘉兴港区消防救援大队食堂物业管理服务采购项目公开招标公告,嘉兴港区消防救援大队食堂物业管理服务采购项目,"服务/房地产服务/物业管理服务,服务/住宿和餐饮服务/餐饮服务",嘉兴港区消防救援大队,嘉兴市,2022年01月17日  16:23,"2022年01月17日至2022年01月24日, 每日上午:8:00 至 14:00  下午:12:00 至 21:00（北京时间，法定节假日除外）",￥500,嘉兴市由拳路309号紫御大厦17楼招标代理部,2022年02月10日  09:30,浙江中明工程咨询有限公司开标室（嘉兴市由拳路309号紫御大厦17楼）,￥49.732400万元（人民币）,姚琪,057383679692,嘉兴平湖市乍浦镇东方大道111号港区消防救援大队,联系人：王海龙 联系电话：13957382545,浙江中明工程咨询有限公司,嘉兴市由拳路309号紫御大厦17楼,联系人：姚琪 联系电话：0573-83679692,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17528677.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17528677.htm
应急管理部天津消防研究所消防装备产品检测实验室改造项目公开招标公告,应急管理部天津消防研究所消防装备产品检测实验室改造项目,工程/装修工程,应急管理部天津消防研究所,天津市,2022年01月29日  14:58,"2022年01月29日至2022年02月10日, 每日上午:9:00 至 12:00  下午:12:00 至 16:00（北京时间，法定节假日除外）",￥1000,网上报名,2022年02月21日  14:00,天津市华苑产业区兰苑路2号顶佳园1号楼11层,￥84.900000万元（人民币）,张老师,022-23772818,天津市西青区富兴路2号,陈老师，13652197994,天津市津广达工程造价咨询有限公司,天津市华苑产业区兰苑路2号顶佳园1号楼11层,张老师，022-23772818,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220129_17570497.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220129_17570497.htm
国家广播电视总局监管中心应急广播预警信息调度控制自动适配系统改造扩容项目—信息采集管理公开招标公告,应急广播预警信息调度控制自动适配系统改造扩容项目—信息采集管理,服务/信息技术服务/其他信息技术服务,国家广播电视总局监管中心,北京市,2022年01月29日  15:21,"2022年01月29日至2022年02月10日, 每日上午:9:00 至 12:00  下午:12:00 至 17:00（北京时间，法定节假日除外）",￥500,中招联合招标采购平台（http://www.365trade.com.cn）,2022年02月22日  09:00,中招联合招标采购平台（http://www.365trade.com.cn）线上开标,￥319.660000万元（人民币）,王丽莉、师杉、林彧杰、秦璐璐、马翔宇、徐润斌、曲志鸣、郭同玲,010－62108150  62108152,北京市西城区复兴门外大街2号,张秋华  010-86095517,中招国际招标有限公司,北京市海淀区学院南路62号中关村资本大厦611A,王丽莉、师杉、林彧杰、秦璐璐、马翔宇、徐润斌、曲志鸣、郭同玲    010－62108150  62108152,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220129_17570637.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220129_17570637.htm
海南省消防救援总队消防指挥信息网建设项目公开招标公告,消防指挥信息网建设项目,"服务/科学研究和试验开发/工程学的研究和试验开发/交通运输工程研究服务/交通运输信息化/信息安全,工程/建筑安装工程/智能化安装工程/其他智能化安装工程,工程/建筑安装工程/智能化安装工程/计算机网络系统工程,货物/通用设备/通信设备/视频会议系统设备/其他视频会议系统设备,货物/通用设备/计算机设备及软件/其他计算机设备及软件",海南省消防救援总队,龙华区,2022年01月29日  16:26,"2022年01月29日至2022年02月10日, 每日上午:8:30 至 12:00  下午:14:30 至 17:30（北京时间，法定节假日除外）",￥0,全国公共资源交易平台（海南省 ）（http://zw.hainan.gov.cn/ggzy/）,2022年02月22日  09:30,海南省公共资源交易服务中心（海口市国兴大道9号）207开标室,￥1585.994400万元（人民币）,邢先生,0898-66520605,海南省海口市龙华区龙昆南路170号,张助理；0898-65921183,福建建盛工程管理有限公司,海南省海口市琼山区文坛路海南工商学院教工楼19号一单元1703,邢先生；0898-66520605,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220129_17571028.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220129_17571028.htm
北京航空航天大学家属区高层电梯改造更新工程采购公告,北京航空航天大学家属区高层电梯改造更新工程,,北京航空航天大学,市辖区,2022年01月29日  16:56,"0002年11月30日至2022年01月31日, 每日上午:0:00 至 11:59  下午:12:00 至 23:59（北京时间，法定节假日除外）",￥0,在线下载 （https://www.zycg.gov.cn）,2022年02月01日  09:00,西章胡同9号院,￥437.280000万元（人民币）,李兆杨,010-55602389,北京市海淀区学院路37号,010-82338167,中央国家机关政府采购中心,西章胡同9号院,010-83083702,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220129_17571237.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220129_17571237.htm
南京大学膳食中心仙林校区水产冷冻品类食品原材料采购公开招标公告,南京大学膳食中心仙林校区水产冷冻品类食品原材料采购,货物/食品、饮料和烟草原料/农副食品，动、植物油制品/水产品加工,南京大学,南京市,2022年01月29日  17:10,"2022年01月29日至2022年02月10日, 每日上午:9:00 至 12:00  下午:14:00 至 17:00（北京时间，法定节假日除外）",￥500,中招联合招标采购平台网址为：http://www.365trade.com.cn/,2022年02月23日  09:00,南京市山西路98号江苏成套大厦一楼东大厅开标大厅,￥102.823000万元（人民币）,颜丽、徐鑫磊,025-83315832   83311056  13913931305,南京市栖霞区仙林大道163号,胡老师   025-89688959,江苏省设备成套股份有限公司,南京市山西路120号17楼1701室,颜丽、徐鑫磊 025-83315832   83311056  13913931305,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220129_17571346.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220129_17571346.htm
